title,description,category
De la terre à la lune,No description available,Continental european fiction (fictional works by one author)
A Wrinkle in Time,No description available,Love
Northern Lights,No description available,Political theology
Voyage au Centre de la Terre,No description available,Fiction
A Clockwork Orange,No description available,bible
Mein Kampf,No description available,Politics and government
When the Sleeper Awakes,No description available,Fiction
Vom Kriege,No description available,Military art and science
Nineteen Eighty-Four,No description available,futurology
The Giver,No description available,Social control
The Kybalion,No description available,Psychology
It Can't Happen Here,No description available,Anti-fascist movements
Het Achterhuis,No description available,autobiographies
Common Sense,No description available,Political science
Das Kapital,No description available,Economics
Animal Farm,No description available,British and irish fiction (fictional works by one author)
A Doll's House,No description available,Drama
The Prince,No description available,"Political science, early works to 1800"
The Hunger Games,No description available,severe poverty
The Silver Chair,No description available,Fiction
The Last Battle,No description available,Juvenile Fiction
A Vindication of Rights of Woman,No description available,Women's rights
Twilight,No description available,New York Times bestseller
Carrie,No description available,occult & supernatural fiction
Charlie and the Great Glass Elevator,No description available,Charlie Bucket (Fictitious character)
Goodnight Moon,No description available,Children's fiction
The Lost Symbol,No description available,Suspense & Thriller
Moralia,No description available,Ancient Ethics
Manifest der Kommunistischen Partei,No description available,Communism
The Magician's Nephew,No description available,Fantasy
πολιτεία,No description available,Political science
Poirot investigates,No description available,Hercule Poirot (Fictitious character)
Genji monogatari,No description available,Classic Literature
La Peste,No description available,Fiction
Der Zauberberg,No description available,Fiction
Life on the Mississippi,No description available,American Authors
"The Lion, the Witch and the Wardrobe",No description available,the Blitz
History,No description available,Ancient History
On the origin of species by means of natural selection,No description available,Evolution
The Strange Case of Dr. Jekyll and Mr. Hyde,No description available,Fiction
The Murder of Roger Ackroyd,No description available,detective fiction
Tender is the Night,No description available,Fiction
The Secret Agent,No description available,"Anarchists, fiction"
Смерть Ивана Ильича,No description available,Literature
Бѣсы,No description available,Fiction
A Room of One's Own,No description available,Authorship
Narrative of the life of Frederick Douglass,No description available,"Douglass, frederick, 1818-1895"
Of Human Bondage,No description available,"People with disabilities, fiction"
Phantastes,No description available,Fairy tales
"[William Wheeler Hubbell, authorized to apply for patents.]",No description available,Administration of Justice
The Iron Heel,No description available,"Revolutions, fiction"
Dracula,No description available,Count Dracula (Fictitious character)
The Two Towers,No description available,Ents
Harry Potter and the Prisoner of Azkaban,No description available,Fantasy fiction
Mrs. Dalloway,No description available,Fiction
Essays,No description available,Aphorisms and apothegms
A Study of History,No description available,Civilization
The Enduring Vision,No description available,Textbooks
A Brief History of Time,No description available,Cosmologie
History,No description available,Ancient History
History of the Decline and Fall of the Roman Empire Complete and Unabridged,No description available,C.
History of the Peloponnesian War,No description available,Greek Inscriptions
Naturalis historia,No description available,Ancient Geography
David Copperfield,No description available,British and irish drama (dramatic works by one author)
The Story of Doctor Dolittle,No description available,Animals
Plays (36),No description available,sources
Hans Andersen's Fairy Tales,No description available,Miniature books
Ab urbe condita,No description available,Antiquities
Don Quixote,No description available,"Don Quixote (Cervantes Saavedra, Miguel de)"
The Awakening,No description available,Adultery
King Lear,No description available,Drama
Le Morte d'Arthur,No description available,Arthurian romances
Ulysses,No description available,Married people
Les Contes de ma mère l'Oye,No description available,Nursery rhymes
A dictionary of the English language,No description available,English language
Fairy Tales and Stories,No description available,Fairy tales
Hamlet,No description available,performing arts
The book of tea,No description available,Japanese tea ceremony
Doctor Faustus,No description available,Drama
The Second World War,No description available,"Personal narratives, British"
The Silmarillion,No description available,Fantasy fiction
Мы,No description available,Literature: Texts
Manifest der Kommunistischen Partei,No description available,Communism
King Henry V,No description available,Drama
Up from Slavery,No description available,"Washington, booker t., 1856-1915"
Mémoires,No description available,Biography
Utopia,No description available,Utopias
The Merchant of Venice,No description available,Drama
The Turn of the Screw,No description available,Children
Communist Manifesto,No description available,Communism
The Taming of the Shrew,No description available,Drama
Bury My Heart at Wounded Knee,No description available,Indians of North America
When the Sleeper Awakes,No description available,Fiction
The Scarlet Letter,No description available,Fiction
The House of Mirth,No description available,Fiction
"Works [37 plays, 6 poems, sonnets]",No description available,Early Modern and Elizabethan English Drama
Heart of Darkness,No description available,Fiction
The Souls of Black Folk,No description available,African Americans
Le petit prince,No description available,adventure
A Portrait of the Artist as a Young Man,No description available,Fiction
"The life of Olaudah Equiano, or Gustavus Vassa, the African",No description available,Slavery
Candide,No description available,Conduct of life
Study Guide,No description available,Sociology
Dubliners,No description available,Daily Express
Narrative of the life of Frederick Douglass,No description available,"Douglass, frederick, 1818-1895"
Hard Times,No description available,Fiction
Συμπόσιον,No description available,Love
Emma,No description available,Social life and customs
Macbeth,No description available,Drama
The Prince,No description available,"Political science, early works to 1800"
Robinson Crusoe,No description available,Robinson Cusoe
Great Expectations,No description available,Authors
Romeo and Juliet,No description available,Bibliography
Wuthering Heights,No description available,British and irish fiction (fictional works by one author)
Julius Caesar,No description available,Antoine (Marcus Antonius)
Max Ernst,No description available,Friends and associates
Much Ado About Nothing,No description available,mistaken identities
La Poetica,No description available,Metaphysics
Frankenstein or The Modern Prometheus,No description available,Frankenstein (Fictitious character)
Antony and Cleopatra,No description available,"Antonius, Marcus,"
Walden,No description available,Biography
Homage to Catalonia,No description available,English Personal narratives
The Book Thief,No description available,nyt:young-adult-paperback-monthly=2022-09-04
The Art of War,No description available,Open Library Staff Picks
Autobiography,No description available,Wills
πολιτεία,No description available,Political science
As You Like It,No description available,Drama
Summa Theologica,No description available,Anthropology
Tess of the d'Urbervilles,No description available,Fiction
An autobiography,No description available,Biography & Autobiography
A Room of One's Own,No description available,Authorship
Twelfth Night,No description available,Drama
Uncle Tom's Cabin,No description available,Master and servant
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,No description available,Accessible book
Beloved,No description available,African American History
A Midsummer Night's Dream,No description available,Drama
King Solomon's Mines,No description available,Fiction
Othello,No description available,Drama
Mein Kampf,No description available,Politics and government
Gone With the Wind,No description available,survival
A Vindication of Rights of Woman,No description available,Women's rights
The Travels of Marco Polo,No description available,Description and travel
The Picture of Dorian Gray,No description available,British and irish fiction (fictional works by one author)
The Good Earth,No description available,"China, fiction"
Bible,No description available,"Manuscripts, Latin (Medieval and modern)"
The Riddle of the Sands,No description available,"Great britain, fiction"
Доктор Живаго,No description available,Fiction
The Sun Also Rises,No description available,"Fiction, Historical"
The Story of Philosophy,No description available,Philosophy
Metamorphoses,No description available,Poetry
Gulliver's Travels,No description available,YA
A Tale of Two Cities,No description available,British
Il nome della rosa,No description available,Novela de misterio
Notre-Dame de Paris,No description available,Man-woman relationships
Orthodoxy,No description available,Apologetics
Flatland,No description available,Fourth dimension
Phantastes,No description available,Fairy tales
Lilith,No description available,"Fiction, romance, fantasy"
Pygmalion,No description available,Drama
The Blithedale Romance,No description available,Fiction
Ivanhoe,No description available,Fiction
The Moonstone,No description available,Fiction
Tender is the Night,No description available,Fiction
The Invisible Man,No description available,Ciencia-ficción
The Scarlet Letter,No description available,Fiction
The blue castle,No description available,Juvenile fiction
Orthodoxy,No description available,Apologetics
Memórias póstumas de Brás Cubas,No description available,Romance brasileiro
Emma,No description available,Social life and customs
Utopia,No description available,Utopias
Les Trois Mousquetaires,No description available,History
Orlando,No description available,Nobility in fiction
Sense and Sensibility,No description available,"Fiction, Romance, Historical, Regency"
Persuasion,No description available,"Fiction, Romance, Historical, Regency"
This Side of Paradise,No description available,Fiction
Le Morte d'Arthur,No description available,Arthurian romances
Genji monogatari,No description available,Classic Literature
Northanger Abbey,No description available,Mate selection
Madame Bovary,No description available,literary fiction
The War of the Worlds,No description available,Imaginary wars and battles
Der Steppenwolf,No description available,Fiction
Bleak House,No description available,Fiction
Le Comte de Monte Cristo,No description available,France -- History -- 19th century -- Fiction
Wuthering Heights,No description available,British and irish fiction (fictional works by one author)
The Time Machine,No description available,Self-experimentation in medicine in fiction
The Age of Innocence,No description available,Fiction
Women in Love,No description available,Romance
The Great Gatsby,No description available,"Married people, fiction"
Romeo and Juliet,No description available,Bibliography
Lady Susan,No description available,Fiction
Pride and Prejudice,No description available,British and irish fiction (fictional works by one author)
The Woman in White,No description available,Fiction
Lady Chatterley's Lover,No description available,Sexual behavior
Jane Eyre,No description available,Fiction
Little Women,No description available,Romans
Pickwick Papers,No description available,Fiction
The Picture of Dorian Gray,No description available,British and irish fiction (fictional works by one author)
El amor en los tiempos del cólera,No description available,Vida familiar
Hard Times,No description available,Fiction
War and Peace,No description available,Classic
Tess of the d'Urbervilles,No description available,Fiction
Far From the Madding Crowd,No description available,Fiction
Twilight,No description available,New York Times bestseller
The Last of the Mohicans,No description available,Adventure stories
Ἰλιάς,No description available,Odysseus (Greek mythology)
Anne of Green Gables,No description available,Fiction
Frankenstein or The Modern Prometheus,No description available,Frankenstein (Fictitious character)
Don Quixote,No description available,Children: Grades 4-6
Fifty Shades of Grey,No description available,"Man-woman relationships, fiction"
Lolita,No description available,erotic fiction
The Portrait Of A Lady,No description available,Fiction
A Room with a View,No description available,British
A Tale of Two Cities,No description available,British
Guess How Much I Love You,No description available,Fiction
La Peste,No description available,Fiction
Eva Luna,No description available,Spanish language books
Доктор Живаго,No description available,Fiction
The Return of the Native,No description available,"People with visual disabilities, fiction"
The Turn of the Screw,No description available,Children
Die Blechtrommel,No description available,Fiction
Murder in Three Acts,No description available,Fiction
La casa de los espíritus,No description available,Chilean literature
Breakfast at Tiffany's,No description available,American Short stories
The Godfather,No description available,Detective and mystery stories
The Secret Agent,No description available,"Anarchists, fiction"
A Farewell to Arms,No description available,Cuentos de guerra
In Cold Blood,No description available,True
A Queda,No description available,Conscience
The Mirror Crack'd from Side to Side,No description available,Fiction
A Clockwork Orange,No description available,bible
The Mystery of the Blue Train,No description available,Crimes against
The Beautiful and Damned,No description available,Fiction
A Princess of Mars,No description available,John Carter (Fictitious character)
Black Beauty,No description available,Black Beauty
Le petit prince,No description available,adventure
Rebecca,No description available,Married women
The Magician's Nephew,No description available,Fantasy
Le fantôme de l'opéra,No description available,Fiction
Poirot investigates,No description available,Hercule Poirot (Fictitious character)
Death on the Nile,No description available,Belgians
A Connecticut Yankee in King Arthur's Court,No description available,Time travel
Anna Karenina,No description available,Fiction
Daisy Miller,No description available,Fiction
Cien años de soledad,No description available,Spanish language books
Daddy-Long-Legs,No description available,Philanthropists
"Works [37 plays, 6 poems, sonnets]",No description available,Early Modern and Elizabethan English Drama
Смерть Ивана Ильича,No description available,Literature
Confessions,No description available,Religious aspects of Truth
Ethan Frome,No description available,Accident victims
Gone With the Wind,No description available,survival
L’étranger,No description available,Murder
Cranford,No description available,Fiction
The Awakening,No description available,Adultery
A Midsummer Night's Dream,No description available,Drama
Notre-Dame de Paris,No description available,Man-woman relationships
A Caribbean Mystery,No description available,Agatha Christie
The Mysterious Affair at Styles,No description available,Fiction
The Mystery of the Blue Train,No description available,Crimes against
Murder in Mesopotamia,No description available,Fiction
Death on the Nile,No description available,Belgians
Sleeping Murder,No description available,Fiction
Death in the Clouds,No description available,Detective and mystery stories
Five Little Pigs,No description available,Hercule Poirot (Fictitious character)
They Do It with Mirrors,No description available,Fiction
A Murder Is Announced,No description available,Fiction
Whose Body?,No description available,Mystery
Peril at End House,No description available,Captain Hastings (Fictitious character)
Evil Under the Sun,No description available,Hercule Poirot (Fictitious character)
The Sittaford Mystery,No description available,English Detective and mystery stories
Poirot investigates,No description available,Hercule Poirot (Fictitious character)
The Big Four,No description available,Fiction
Lord Edgware Dies,No description available,Hercule Poirot (Fictitious character)
Cards on the Table,No description available,Fiction
The Murder at the Vicarage,No description available,Women detectives
Murder in Three Acts,No description available,Fiction
Elephants Can Remember,No description available,Fiction
The Mirror Crack'd from Side to Side,No description available,Fiction
After the Funeral,No description available,Fiction
Appointment with Death,No description available,Belgians
The moving finger,No description available,Fiction
At Bertram's Hotel,No description available,Fiction
The Secret of Chimneys,No description available,Fiction
The Body in the Library,No description available,Fiction
The Murder of Roger Ackroyd,No description available,detective fiction
The Secret Adversary,No description available,Classic Literature
The A.B.C. Murders,No description available,Fiction
Nemesis,No description available,Fiction
The Seven Dials Mystery,No description available,English Detective and mystery stories
L'Île mystérieuse,No description available,Popular Print Disabled Books
Curtain,No description available,Fiction
4:50 from Paddington,No description available,Fiction
The Hollow,No description available,Fiction
Hallowe'en Party,No description available,Fiction
The Daughter of Time,No description available,Alan Grant (Fictitious character)
Hercule Poirot's Christmas,No description available,Hercule Poirot (Fictitious character)
Third Girl,No description available,Fiction
Crooked House,No description available,Mystery
Murder on the Orient Express,No description available,Agatha Christie
The Red House Mystery,No description available,Mystery and detective stories
Murder on the Links,No description available,Fiction
Sparkling Cyanide,No description available,Fiction in Spanish
The Mysterious Stranger,No description available,American Humorous stories
The Man in the Brown Suit,No description available,Fiction
And Then There Were None,No description available,Roman policier
"One, Two, Buckle My Shoe",No description available,Fiction
The Sign of Four,No description available,Crime & Mystery
Catch-22,No description available,Open Library Staff Picks
The Big Sleep,No description available,Fiction
Dumb Witness,No description available,Fiction
The Valley of Fear,No description available,English Detective and mystery stories
The Adventures of Sherlock Holmes [12 stories],No description available,Classic Literature
A Study in Scarlet,No description available,Action & Adventure Fiction
His Last Bow [8 stories],No description available,short stories
The Woman in White,No description available,Fiction
Dracula,No description available,Count Dracula (Fictitious character)
The Castle of Otranto,No description available,Castles
The most dangerous game,No description available,Fiction
The book of the damned,No description available,Miscellanea
Vingt mille lieues sous les mers,No description available,Toy and movable books
Memoirs of Sherlock Holmes [11 stories],No description available,Crime & Mystery
The Time Machine,No description available,Self-experimentation in medicine in fiction
The Return of Sherlock Holmes,No description available,air guns
The Moonstone,No description available,Fiction
Mrs. McGinty's Dead,No description available,Fiction
The King in Yellow,No description available,Social life and customs
The Hound of the Baskervilles,No description available,crime novel
The Riddle of the Sands,No description available,"Great britain, fiction"
Sad Cypress,No description available,Fiction
"The Complete Sherlock Holmes [4 novels, 56 stories]",No description available,Action & Adventure Fiction
Faust,No description available,Good and evil
The Curious Incident of the Dog in the Night-Time,No description available,"England, fiction"
Frankenstein or The Modern Prometheus,No description available,Frankenstein (Fictitious character)
Murder is Easy,No description available,Police
The Da Vinci Code,No description available,Suspense & Thriller
Hard Times,No description available,Fiction
The Case-Book of Sherlock Holmes,No description available,Fiction
Il nome della rosa,No description available,Novela de misterio
Great Expectations,No description available,Authors
Lives,No description available,Biography
The Godfather,No description available,Detective and mystery stories
The Murders in the Rue Morgue,No description available,Murder
The Man Who Was Thursday,No description available,Anarchists
The Lost Symbol,No description available,Suspense & Thriller
The Picture of Dorian Gray,No description available,British and irish fiction (fictional works by one author)
The Secret Agent,No description available,"Anarchists, fiction"
Perfume,No description available,Historical fiction
In Cold Blood,No description available,True
The Thirty-Nine Steps,No description available,"Hannay, richard (fictitious character), fiction"
Harry Potter and the Half-Blood Prince,No description available,orphans
Le fantôme de l'opéra,No description available,Fiction
Carmilla,No description available,English Fantasy fiction
Преступление и наказание,No description available,English Translations
Angels & Demons,No description available,heparin
Harry Potter and the Deathly Hallows,No description available,the Elder Wand
Alice's Adventures in Wonderland,No description available,"Alice (fictitious character : carroll), fiction"
